Length (m),0.3,0.4,0.5,0.6
Trial 1,1.09,1.06,1.34,1.59
Trial 2,1.03,1.29,1.43,1.51
Trial 3,1.09,1.29,1.44,1.58
Trial 4,1.09,1.19,1.46,1.51
Trial 5,1.13,1.24,1.43,1.53
