Length (m),0.3,0.4,0.5,0.6
Trial 1,1.08,1.26,1.41,1.49
Trial 2,1.04,1.33,1.48,1.53
Trial 3,1.13,1.23,1.38,1.49
Trial 4,1.15,1.24,1.43,1.58
Trial 5,1.06,1.18,1.39,1.48
