Length (m),0.3,0.4,0.5,0.6
Trial 1,1.11,1.23,1.39,1.54
Trial 2,1.03,1.23,1.39,1.54
Trial 3,1.06,1.34,1.41,1.53
Trial 4,1.08,1.21,1.33,1.51
Trial 5,1.07,1.23,1.43,1.58
